ST	eae	tir	espA	espB	espD	espH	espZ
1	1	1	1	1	1	1	1
2a	2	2	2	1	1	2	2
2b	2	2	2	1	1	2	3
3	3	3	3	2	2	3	4
4	4	3	4	2	2	3	5
5	4	3	4	2	2	3	6
6	4	3	4	2	2	3	5
7	5	4	3	2	2	3	7
8	5	4	3	2	2	3	7
9	6	5	5	3	3	4	8
10	7	5	5	3	3	5	8
11a	8	6	6	4	4	6	9
11b	8	6	6	4	4	6	10
12	8	6	6	4	4	6	11
13	9	5	7	5	5	4	11
14	9	5	7	5	5	4	12
15	10	7	8	5	5	7	8
16	11	7	8	5	5	4	13
17	12	7	8	5	5	7	13
18	12	7	8	5	5	7	11
19	13	8	7	5	5	4	14
20	13	8	9	5	6	4	13
21	14	8	9	5	6	4	13
22	15	9	9	5	6	4	13
23	16	9	10	5	7	7	11
24	16	10	9	6	6	7	8
25a	17	11	9	5	8	7	12
25b	17	12	11	6	6	7	12
26	17	10	9	5	6	7	14
27	17	10	7	5	5	7	13
28	18	11	9	5	6	4	13
29	18	11	11	5	7	4	13
30	19	10	9	5	6	4	13
