clusterid,queryID,class,gene,allele,seqID,accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters
0,OqxB__49,Flq,OqxB,OqxB,49,EU370913,47851-51003,3153,no,no
1,VanTc3__534,Gly,VanTc,VanTc3,534,AY033764,1644-3746,2103,no,no
1,VanTc4__535,Gly,VanTc,VanTc4,535,EU151753,1647-3749,2103,no,no
2,VanT__1054,Gly,VanT,VanT,1054,AF162694,3008-5104,2097,no,no
2,VanTc__1055,Gly,VanT,VanTc,1055,DQ022190,1802-3898,2097,no,no
3,HugA__1172,Bla,HugA,HugA,1172,AY008342,5235-3169,2067,no,no
4,MECA__1491,Bla,MECA,MECA,1491,BX571856,46925-44919,2007,no,no
5,OtrA__1687,Tet,OtrA,OtrA,1687,X53401,349-2340,1992,no,no
6,TetQ__345,Tet,TetQ,TetQ,345,Z21523,314-2287,1974,no,no
7,TetB-P__640,Tet,TetB-P,TetB-P,640,L20800,2309-4267,1959,no,no
8,TetT__1056,Tet,TetT,TetT,1056,L42544,478-2433,1956,no,no
9,TetS__1454,Tet,TetS,TetS,1454,L09756,447-2372,1926,no,no
10,Tet-36__830,Tet,Tet-36,Tet-36,830,AJ514254,2534-4456,1923,no,no
11,Tet-44__829,Tet,Tet-44,Tet-44,829,FN594949,25245-27167,1923,no,no
12,Tet-32__832,Tet,Tet-32,Tet-32,832,DQ647324,181-2100,1920,no,no
13,TetM__831,Tet,TetM,TetM,831,U08812,1981-3900,1920,no,no
14,TetO__834,Tet,TetO,TetO,834,M18896,207-2126,1920,no,no
15,TetW__833,Tet,TetW,TetW,833,AJ222769,3687-5606,1920,no,no
16,MrdA__836,Bla,MrdA,MrdA,836,CP002291,666340-664439,1902,no,no
17,PenA__835,Bla,PenA,PenA,835,AB511945,1298-3049,1752,no,no
18,OleB__838,MLS,OleB,OleB,838,L36601,1421-3130,1710,no,no
19,OtrB__837,Tet,OtrB,OtrB,837,AF079900,40-1731,1692,no,no
20,VgaB__579,MLS,VgaB,VgaB,579,U82085,629-2287,1659,no,no
21,CarA__580,MLS,CarA,CarA,580,M80346,411-2066,1656,no,no
22,SrmB__581,MLS,SrmB,SrmB,581,X63451,558-2210,1653,no,no
23,TlrC__582,MLS,TlrC,TlrC,582,M57437,277-1923,1647,no,no
24,Rif__575,Rif,Rif,Rif,575,EF541029,530-2170,1641,no,no
25,TlrC__576,MLS,TlrC2,TlrC,576,NC_016113,804890-803268,1623,no,no
26,VgaD__577,MLS,VgaD,VgaD,577,GQ205627,1394-2971,1578,no,no
27,VgaE__578,MLS,VgaE,VgaE,578,FR772051,8741-10315,1575,no,no
28,VgaA__583,MLS,VgaA,VgaA,583,M90056,909-2477,1569,no,no
28,Vgaa-LC__584,MLS,VgaA,Vgaa-LC,584,DQ823382,1-1569,1569,no,no
29,Tet-43__585,Tet,Tet-43,Tet-43,585,GQ244501,1619-60,1560,no,no
30,TetH__302,Tet,TetH,TetH,302,EF460464,7839-6286,1554,no,no
31,Tcr-3__301,Tet,Tcr-3,Tcr-3,301,D38215,516-2054,1539,no,no
32,QepA__299,Flq,QepA,QepA,299,AB263754,8587-7052,1536,no,no
32,QepA2__300,Flq,QepA,QepA2,300,EU847537,1672-3207,1536,no,no
33,LsaA__298,MLS,LsaA,LsaA,298,AY225127,41-1537,1497,no,no
34,LsaB__306,MLS,LsaB,LsaB,306,AJ579365,4150-5628,1479,no,no
35,LsaC__305,MLS,LsaC,LsaC,305,HM990671,5193-6671,1479,no,no
36,MsrC__304,MLS,MsrC,MsrC,304,AY004350,496-1974,1479,no,no
37,MsrE__303,MLS,MsrE,MsrE,303,KR091911,85100-83625,1476,no,no
38,MsrA__297,MLS,MsrA,MsrA,297,AY591760,274-1740,1467,no,no
39,MsrD__296,MLS,MsrD,MsrD,296,AF274302,2462-3925,1464,no,no
40,LmrA__1685,MLS,LmrA,LmrA,1685,X79146,1918-3363,1446,no,no
41,Aac6-Aph2__1686,AGly,Aac6-Aph2,Aac6-Aph2,1686,M13771,304-1743,1440,no,no
42,FexA__1675,Phe,FexA,FexA,1675,JQ041372,15451-14024,1428,no,no
43,Aac6-31__1676,AGly,AacAad,Aac6-31,1676,AJ640197,2474-2992,519,no,no
43,Aac6-Ib__1677,AGly,AacAad,Aac6-Ib,1677,NC_015515,3943-4548,606,no,no
43,AacA4__1679,AGly,AacAad,AacA4,1679,AF416297,2738-3304,567,no,no
