seqID,clusterid,gene,allele,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,idInFile,symbol,class,accession,positions,size,Lahey,Bla_Class
61,349,NpmA_AGly,NpmA,no,no,AGly___NpmA___AB261016___3069-3728___660,NpmA,AGly,AB261016,3069-3728,660,NA,NA
63,299,AadD_AGly,AadD,no,no,AGly___AadD___AF181950___3176-3946___771,AadD,AGly,AF181950,3176-3946,771,NA,NA
65,297,ArmA_AGly,ArmA,no,no,AGly___ArmA___AY220558___1978-2751___774,ArmA,AGly,AY220558,1978-2751,774,NA,NA
66,294,AphA6_AGly,AphA6,yes,no,AGly___AphA6___JF949760___695-1474___771,AphA6,AGly,JF949760,695-1474,771,NA,NA
67,294,AphA6_AGly,Aph3-VIb,yes,yes,AGly___Aph3-VIb___AJ627643___4934-5713___780,Aph3-VIb,AGly,AJ627643,4934-5713,780,NA,NA
68,295,RmtF_AGly,RmtF,no,no,AGly___RmtF___JQ808129___55-876___822,RmtF,AGly,JQ808129,55-876,822,NA,NA
72,290,AadA14_AGly,AadA14,no,no,AGly___AadA14___AJ884726___540-1325___786,AadA14,AGly,AJ884726,540-1325,786,NA,NA
73,291,Spc_AGly,Spc,no,no,AGly___Spc___X02588___331-1113___783,Spc,AGly,X02588,331-1113,783,NA,NA
74,199,Aac3-VII_AGly,Aac3-VII,no,yes,AGly___Aac3-VII___M22999___493-1359___867,Aac3-VII,AGly,M22999,493-1359,867,NA,NA
268,277,Aph3-III_AGly,Aph3-III,no,yes,AGly___Aph3-III___V01547___535-1329___795,Aph3-III,AGly,V01547,535-1329,795,NA,NA
269,278,Aph3-Vb_AGly,Aph3-Vb,no,yes,AGly___Aph3-Vb___M22126___373-1164___792,Aph3-Vb,AGly,M22126,373-1164,792,NA,NA
270,278,Aph3-Vb_AGly,Aph3-Vc,no,yes,AGly___Aph3-Vc___S81599___282-1076___795,Aph3-Vc,AGly,S81599,282-1076,795,NA,NA
271,279,AphA15_AGly,AphA15,no,no,AGly___AphA15___Y18050___4758-5552___795,AphA15,AGly,Y18050,4758-5552,795,NA,NA
272,449,Aac6-Ic_AGly,Aac6-Ic,no,yes,AGly___Aac6-Ic___M94066___1554-1994___441,Aac6-Ic,AGly,M94066,1554-1994,441,NA,NA
273,448,Aac3-Ik_AGly,Aac3-Ik,no,yes,AGly___Aac3-Ik___BX571856___765853-766296___444,Aac3-Ik,AGly,BX571856,765853-766296,444,NA,NA
278,441,Aac3-Ii_AGly,Aac3-Ii,no,yes,AGly___Aac3-Ii___CP000356___638262-638720___459,Aac3-Ii,AGly,CP000356,638262-638720,459,NA,NA
279,440,Aac3-Ih_AGly,Aac3-Ih,no,yes,AGly___Aac3-Ih___CP000490___509912-510370___459,Aac3-Ih,AGly,CP000490,509912-510370,459,NA,NA
281,446,Aac6-Id_AGly,Aac6-Id,no,yes,AGly___Aac6-Id___X12618___905-1354___450,Aac6-Id,AGly,X12618,905-1354,450,NA,NA
308,439,Aac6-Iz_AGly,Aac6-Iz,no,yes,AGly___Aac6-Iz___AF140221___390-851___462,Aac6-Iz,AGly,AF140221,390-851,462,NA,NA
310,437,Aac3-Ic_AGly,Aac3-Ic,no,yes,AGly___Aac3-Ic___AJ511268___1295-1765___471,Aac3-Ic,AGly,AJ511268,1295-1765,471,NA,NA
