unique_ID,ResFinderDBname,gene,allele,accession,cluster90%,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,final_gene
2,oqxB_1_EU370913,oqxB,1,EU370913,0,no,no,oqxB
696,VanT-G_1_AY271782,VanT-G,1,AY271782,1,no,no,VanT-G
1236,VanT-C_2_EU151752,VanT-C,2,EU151752,2,no,yes,VanT-C
1328,VanT-C_3_EU151753,VanT-C,3,EU151753,3,no,yes,VanT-C
1715,VanT-C_1_AF162694,VanT-C,1,AF162694,4,no,yes,VanT-C
1716,VanT-C_1_DQ022190,VanT-C,1,DQ022190,4,no,yes,VanT-C
1956,fusA_9_AY776250,fusA,9,AY776250,5,no,yes,fusA
354,fusA_17_DQ866810,fusA,17,DQ866810,6,no,yes,fusA
884,tet(Q)_1_L33696,tet(Q),1,L33696,7,no,no,tet(Q)
885,tet(Q)_2_X58717,tet(Q),2,X58717,7,no,no,tet(Q)
886,tet(Q)_3_U73497,tet(Q),3,U73497,7,no,no,tet(Q)
887,tet(Q)_4_Z21523,tet(Q),4,Z21523,7,no,no,tet(Q)
1249,mecA_10_AB512767,mecA,10,AB512767,8,no,yes,mecA
1250,mecA_11_AF411935,mecA,11,AF411935,8,no,yes,mecA
1251,mecA_12_AB373032,mecA,12,AB373032,8,no,yes,mecA
1252,mecA_13_FJ390057,mecA,13,FJ390057,8,no,yes,mecA
1253,mecA_14_AB505630,mecA,14,AB505630,8,no,yes,mecA
1254,mecA_15_AB505628,mecA,15,AB505628,8,no,yes,mecA
1245,mecA_3_JN651408,mecA,3,JN651408,8,no,yes,mecA
1246,mecA_4_AB033763,mecA,4,AB033763,8,no,yes,mecA
1247,mecA_5_CP000046,mecA,5,CP000046,8,no,yes,mecA
1248,mecA_7_BA000018,mecA,7,BA000018,8,no,yes,mecA
1639,mecA_2_FR823292,mecA,2,FR823292,9,no,yes,mecA
1640,mecA_6_FR821779,mecA,6,FR821779,9,no,yes,mecA
1101,otr(A)_1_X53401,otr(A),1,X53401,10,no,no,otr(A)
1100,tetB(P)_3_NC_010937,tetB(P),3,10937,11,no,yes,tetB(P)
1105,tet(T)_1_L42544,tet(T),1,L42544,12,no,no,tet(T)
1106,tet(T)_2_AY660530,tet(T),2,AY660530,12,no,no,tet(T)
1102,tet(S)_1_DQ377340,tet(S),1,DQ377340,13,no,no,tet(S)
1103,tet(S)_2_L09756,tet(S),2,L09756,13,no,no,tet(S)
1104,tet(S)_3_X92946,tet(S),3,X92946,13,no,no,tet(S)
1108,tet(44)_1_NZ_ABDU01000081,tet(44),1,ABDU01000081,14,no,no,tet(44)
1109,tet(44)_2_FN594949,tet(44),2,FN594949,14,no,no,tet(44)
1107,tet(36)_1_AJ514254,tet(36),1,AJ514254,15,no,no,tet(36)
1113,tet(32)_1_EU722333,tet(32),1,EU722333,16,no,no,tet(32)
1114,tet(32)_2_EF626943,tet(32),2,EF626943,16,no,no,tet(32)
1110,tet(O)_1_M18896,tet(O),1,M18896,17,no,no,tet(O)
1111,tet(O)_2_M20925,tet(O),2,M20925,17,no,no,tet(O)
1112,tet(O)_3_Y07780,tet(O),3,Y07780,17,no,no,tet(O)
1117,tet(M)_1_X92947,tet(M),1,X92947,18,no,yes,tet(M)
1125,tet(M)_13_AM990992,tet(M),13,AM990992,18,no,yes,tet(M)
1118,tet(M)_2_X90939,tet(M),2,X90939,18,no,yes,tet(M)
1119,tet(M)_3_U08812,tet(M),3,U08812,18,no,yes,tet(M)
1120,tet(M)_4_X75073,tet(M),4,X75073,18,no,yes,tet(M)
1121,tet(M)_5_U58985,tet(M),5,U58985,18,no,yes,tet(M)
1122,tet(M)_6_M21136,tet(M),6,M21136,18,no,yes,tet(M)
1123,tet(M)_7_FN433596,tet(M),7,FN433596,18,no,yes,tet(M)
1124,tet(M)_9_X56353,tet(M),9,X56353,18,no,yes,tet(M)
1116,tet(M)_12_FR671418,tet(M),12,FR671418,19,no,yes,tet(M)
1115,tet(M)_8_X04388,tet(M),8,X04388,19,no,yes,tet(M)
756,tet(M)_10_EU182585,tet(M),10,EU182585,20,no,yes,tet(M)
757,tet(M)_11_JN846696,tet(M),11,JN846696,20,no,yes,tet(M)
758,tet(W)_1_DQ060146,tet(W),1,DQ060146,21,no,yes,tet(W)
759,tet(W)_4_AJ427422,tet(W),4,AJ427422,21,no,yes,tet(W)
760,tet(W)_5_AJ427421,tet(W),5,AJ427421,21,no,yes,tet(W)
761,tet(W)_6_FN396364,tet(W),6,FN396364,21,no,yes,tet(W)
762,tet(W)_2_AY049983,tet(W),2,AY049983,22,no,yes,tet(W)
763,penA_1_AF515059,penA,1,AF515059,23,no,no,penA
744,fusA_1_JN597305,fusA,1,JN597305,24,no,yes,fusA
745,fusA_2_JN597303,fusA,2,JN597303,24,no,yes,fusA
746,fusA_3_JN597297,fusA,3,JN597297,24,no,yes,fusA
747,fusA_4_JN597295,fusA,4,JN597295,24,no,yes,fusA
748,fusA_5_JN597306,fusA,5,JN597306,24,no,yes,fusA
749,fusA_6_JN597300,fusA,6,JN597300,24,no,yes,fusA
750,fusA_7_JN597298,fusA,7,JN597298,24,no,yes,fusA
751,fusA_8_JN597292,fusA,8,JN597292,24,no,yes,fusA
752,ole(B)_1_L36601,ole(B),1,L36601,25,no,no,ole(B)
753,ort(B)_1_AF079900,ort(B),1,AF079900,26,no,no,ort(B)
754,ort(B)_2_AF061335,ort(B),2,AF061335,26,no,no,ort(B)
755,vga(B)_1_U82085,vga(B),1,U82085,27,no,no,vga(B)
764,car(A)_1_M80346,car(A),1,M80346,28,no,no,car(A)
765,srm(B)_1_X63451,srm(B),1,X63451,29,no,no,srm(B)
257,tlr(C)_1_M57437,tlr(C),1,M57437,30,no,no,tlr(C)
256,vga(C)_1_GQ205627,vga(C),1,GQ205627,31,no,yes,vga(C)
255,vga(E)_1_FR772051,vga(E),1,FR772051,32,no,no,vga(E)
252,vga(A)_1_M90056,vga(A),1,M90056,33,yes,no,vga(A)
253,vga(A)_2_FN546261,vga(A),2,FN546261,33,yes,no,vga(A)
254,vga(A)LC_1_GQ891882,vga(A)LC,1,GQ891882,33,yes,no,vga(A)
262,vga(C)_2_NC_013034,vga(C),2,13034,34,no,yes,vga(C)
261,tet(43)_1_GQ244501,tet(43),1,GQ244501,35,no,no,tet(43)
260,tcr_1_D38215,tcr,1,D38215,36,no,no,tcr
258,qepA_1_AB263754,qepA,1,AB263754,37,no,no,qepA
259,qepA2_1_EU847537,qepA,1,EU847537,37,no,no,qepA
251,lsa(A)_1_AY225127,lsa(A),1,AY225127,38,no,no,lsa(A)
249,msr(C)_1_AY004350,msr(C),1,AY004350,39,no,no,msr(C)
250,msr(C)_2_AF313494,msr(C),2,AF313494,39,no,no,msr(C)
1953,lsa(B)_1_AJ579365,lsa(B),1,AJ579365,40,no,no,lsa(B)
1954,lsa(C)_1_HM990671,lsa(C),1,HM990671,41,no,no,lsa(C)
1947,msr(E)_4_EU294228,msr(E),4,EU294228,42,no,no,msr(E)
1948,msr(E)_5_DQ839391,msr(E),5,DQ839391,42,no,no,msr(E)
1949,msr(E)_7_AF550415,msr(E),7,AF550415,42,no,no,msr(E)
1950,msr(A)_1_X52085,msr(A),1,X52085,43,no,no,msr(A)
1951,msr(A)_2_AB013298,msr(A),2,AB013298,43,no,no,msr(A)
1952,msr(A)_3_M81802,msr(A),3,M81802,43,no,no,msr(A)
1944,msr(D)_2_AF274302,msr(D),2,AF274302,44,no,no,msr(D)
1945,msr(D)_3_AF227520,msr(D),3,AF227520,44,no,no,msr(D)
1946,lmr(A)_1_X59926,lmr(A),1,X59926,45,no,no,lmr(A)
1942,aac(6')-aph(2'')_1_M13771,aac(6')-aph(2''),1,M13771,46,no,no,aac(6')-aph(2'')
1943,fexA_1_AJ549214,fexA,1,AJ549214,47,no,no,fexA
1934,aac(6')-Ib_1_M21682,aac(6')-Ib,1,M21682,48,yes,no,aac(6')
1938,aac(6')Ib-cr_1_DQ303918,aac(6')Ib-cr,1,DQ303918,48,yes,no,aac(6')
1939,aac(6')Ib-cr_2_EF636461,aac(6')Ib-cr,2,EF636461,48,yes,no,aac(6')
1940,aac(6')Ib-cr_3_EF210035,aac(6')Ib-cr,3,EF210035,48,yes,no,aac(6')
1936,aadA11_1_AY144590,aadA,1,AY144590,48,yes,yes,aac(6')
1935,aadA6_1_AF140629,aadA,1,AF140629,48,yes,yes,aac(6')
1937,ant(3'')-Ih-aac(6')-IId_1_AF453998,ant(3'')-Ih-aac(6')-IId,1,AF453998,48,yes,no,aac(6')
1941,tet(L)_1_HM235948,tet(L),1,HM235948,49,no,yes,tet(L)
1796,tet(K)_4_U38428,tet(K),4,U38428,50,no,no,tet(K)
1797,tet(K)_5_J01764,tet(K),5,J01764,50,no,no,tet(K)
1791,tet(L)_2_M29725,tet(L),2,M29725,51,no,yes,tet(L)
1792,tet(L)_4_M11036,tet(L),4,M11036,51,no,yes,tet(L)
1793,tet(L)_5_D00006,tet(L),5,D00006,51,no,yes,tet(L)
1794,tet(L)_8_X60828,tet(L),8,X60828,51,no,yes,tet(L)
1795,tet(L)_9_AY081910,tet(L),9,AY081910,51,no,yes,tet(L)
1801,tet(L)_6_X08034,tet(L),6,X08034,52,no,yes,tet(L)
1802,tet(L)_7_D12567,tet(L),7,D12567,52,no,yes,tet(L)
1798,tet(38)_1_AY825285,tet(38),1,AY825285,53,no,no,tet(38)
1799,tet(38)_2_FN433596,tet(38),2,FN433596,53,no,no,tet(38)
1800,tet(38)_3_FR821779,tet(38),3,FR821779,53,no,no,tet(38)
1788,VanS-B_1_AF192329,VanS-B,1,AF192329,54,no,no,VanS-B
1787,cmlV_1_U09991,cmlV,1,U09991,55,no,no,cmlV
1790,erm(V)_1_U59450,erm(V),1,U59450,56,no,no,erm(V)
1789,tet(42)_1_EU523697,tet(42),1,EU523697,57,no,no,tet(42)
1782,tetA(P)_1_AB054980,tetA(P),1,AB054980,58,yes,no,tetA(P)
1783,tetA(P)_2_HQ399624,tetA(P),2,HQ399624,58,yes,no,tetA(P)
1784,tetA(P)_3_L20800,tetA(P),3,L20800,58,yes,no,tetA(P)
1785,tetA(P)_4_AB001076,tetA(P),4,AB001076,58,yes,no,tetA(P)
1786,tetB(P)_1_DQ366035,tetB(P),1,DQ366035,58,yes,yes,tetA(P)
1780,ere(B)_1_A15097,ere(B),1,A15097,59,no,no,ere(B)
1781,ere(B)_2_X03988,ere(B),2,X03988,59,no,no,ere(B)
1388,cmlA1_1_M64556,cmlA,1,M64556,60,no,no,cmlA
1389,cmlA1_2_AB212941,cmlA,2,AB212941,60,no,no,cmlA
1390,tet(33)_1_DQ077487,tet(33),1,DQ077487,61,no,no,tet(33)
1391,tet(33)_2_AY255627,tet(33),2,AY255627,61,no,no,tet(33)
1392,tet(33)_3_DQ390458,tet(33),3,DQ390458,61,no,no,tet(33)
1126,tet(V)_1_AF030344,tet(V),1,AF030344,62,no,no,tet(V)
1806,pexA_1_HM537013,pexA,1,HM537013,63,no,no,pexA
1533,tet(31)_1_GQ283908,tet(31),1,GQ283908,64,no,no,tet(31)
1534,tet(31)_2_AJ250203,tet(31),2,AJ250203,64,no,no,tet(31)
1535,mef(B)_1_FJ196385,mef(B),1,FJ196385,65,no,no,mef(B)
1536,ere(A)_2_AF099140,ere(A),2,AF099140,66,no,yes,ere(A)
1537,ere(A)_3_AF326209,ere(A),3,AF326209,66,no,yes,ere(A)
1538,ere(A)_4_AF512546,ere(A),4,AF512546,66,no,yes,ere(A)
1539,ere(A)_1_AY138453,ere(A),1,AY138453,67,no,yes,ere(A)
1257,tet(40)_1_FJ158002,tet(40),1,FJ158002,68,no,no,tet(40)
1258,tet(40)_2_FJ158002,tet(40),2,FJ158002,68,no,no,tet(40)
1259,tet(40)_3_AM419751,tet(40),3,AM419751,68,no,no,tet(40)
1542,mef(A)_3_AF227521,mef(A),3,AF227521,69,no,yes,mef(A)
1225,mef(A)_10_AF376746,mef(A),10,AF376746,70,no,yes,mef(A)
1222,tet(E)_1_Y19116,tet(E),1,Y19116,71,no,yes,tet(E)
1223,tet(E)_2_EF471995,tet(E),2,EF471995,71,no,yes,tet(E)
1224,tet(E)_3_L06940,tet(E),3,L06940,71,no,yes,tet(E)
1221,tet(E)_5_CP000645,tet(E),5,CP000645,72,no,yes,tet(E)
1218,floR_1_AF071555,floR,1,AF071555,73,no,no,floR
1219,floR_2_AF118107,floR,2,AF118107,73,no,no,floR
1220,floR_3_AJ251806,floR,3,AJ251806,73,no,no,floR
1215,tet(B)_3_AP000342,tet(B),3,AP000342,74,no,no,tet(B)
1216,tet(B)_4_AF326777,tet(B),4,AF326777,74,no,no,tet(B)
1217,tet(B)_5_AJ277653,tet(B),5,AJ277653,74,no,no,tet(B)
1211,tet(H)_1_Y16103,tet(H),1,Y16103,75,no,no,tet(H)
