Change_type	SRST2_DB_r1	ARGANNOT_DB_v3	ARGANNOT_DB_v1	Action	Reason
Annotation	238__OXA-215_Bla__OXA-215__486 no;yes;OXA-215;Bla;JN861782;1-828;828	(Bla)OXA-215:JN861783:1-828:828	(Bla)OXA-215:JN861782:1-825:825	Corrected the allele and gene names to OXA-214	"ARG-ANNOT v1 took the sequence of OXA-214 for OXA-215 by mistake. OXA-214 has the same length as OXA-215, but differs by six single nucleotide variants (SNVs). In summary.xlsx, it is the (Bla)OXA-214:JN861782:1-828:828 completely matches this sequence."
Addition	Mismatched allele name and sequence	(Bla)OXA-215:JN861783:1-828:828	Mismatched allele name and sequence	"Added this sequence into the FASTA file arg-annot-nt-v3_unique.fna, which is to be merged with the r1 database later. The new sequence completely matches to the accession and coordinates."	
Sequence	137__CARB_Bla__CARB-6__562	(Bla)CARB-6:AF030945:96-962:867	(Bla)CARB-6:AF030945:1-867:867	Replaced the sequence with the correct one from the ARG-ANNOT v3 database	The allele sequence of blaCARB-6 has an extra of 100 bp in the first version of ARG-ANNOT but was annotated correctly. So the SRST2 r1 database has inherited this problem.
Sequence	159__CTX-M-2_Bla__CTX-M-7__1646	(Bla)CTX-M-7:AJ005045:1-876:876	(Bla)CTX-M-7:AJ005045:1-876:976	Replaced the sequence with the correct one from the ARG-ANNOT v3 database	The SRST2 r1 database inherited an extra of 29 bp from the ARG-ANNOT v1 database. The previous sequence was actually the whole GenBank record of the region harbouring the blaCTX-M-7 gene.
Sequence	159__CTX-M-2_Bla__CTX-M-6__1645 no;yes;CTX-M-6;Bla;AJ005045;1-876;876	(Bla)CTX-M-6:AJ005044:1-876:876	(Bla)CTX-M-6:AJ005045:1-876:876	Change the header line into 159__CTX-M-2_Bla__CTX-M-6__1645 no;yes;CTX-M-6;Bla;AJ005045;1-876;876.	The sequence was incorrectly annotated in the v1 database. This mistake was passed down to the r1 database.
Unchanged	19__OtrB_Tet__OtrB__837	(Tet)OtrB:AF079900:40-1733:1692	(Tet)OtrB:AF079900:40-1733:1692	No change was performed	A T>B ¡°mutation¡± (a typo) in ARG-ANNOT databases comparing to the actual reference sequence in GenBank. The genuine base is T.
Undetermined	94__FOX-1_Bla__FOX-6__458	NA	(Bla)FOX-6:AY034848:52-1200:1149	No change was performed yet	Removed since the ARG-ANNOT database v2
Undetermined	95__AmpC_Bla__AmpC__452	NA	(Bla)AmpC:AF211348:233-1378:1146	No change was performed yet	"There have been only AmpC1 and AmpC2 in the ARG-ANNOT database since v2. However, there are six records of Enterobacter aerogenes (Klebsiella aerogenes)habouring identical sequences in GenBank."
Deletion	164__SHV-OKP-LEN_Bla__LEN-14__1423	NA	(Bla)LEN-14:AY265889:1-861:861	Deleted this allele sequence	This is a partial sequence (460 bp).
Unchanged	164__SHV-OKP-LEN_Bla__OKP-B-15__1273	NA	(Bla)OKP-B-15:AM850917:18-878:861	Keep this allele sequence	blaOKP-B-15 differs blaOKP-B-6 by five synonymous SNVs. TBLASTX shows both genes encode the same protein.
Unchanged	164__SHV-OKP-LEN_Bla__OKP-B-16__1274	NA	(Bla)OKP-B-16:AM850918:25-885:861	Keep this allele sequence	blaOKP-B-16 differs with blaOKP-B-5 by two synonymous SNVs. TBLASTX shows both genes encode identical proteins.
Deletion	164__SHV-OKP-LEN_Bla__SHV-83__1349	NA	(Bla)SHV-83:AM176558:1-861:861	Deleted this allele sequence	This is a 861-bp partial sequence.
Unchanged	164__SHV-OKP-LEN_Bla__SHV2A-kp__1281	NA	(Bla)SHV2A-kp:X62115:1281-2141:861	Keep this allele sequence	SHV2A-kp (861 bp) has a synonymous SNV comparing to SHV-2 (861 bp) revealed with TBLASTX; The SHV-2 allele in the r1 database and ARG-ANNOT v1 database have an additional base by mistake.
