clusterid,queryID,class,gene,allele,seqID,accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,bla_description,bla_class
1,aac(2')-Ia,AGly,AAC(2'),aac(2')-Ia,1,ARO_3002523,-,-,no,no,NA,NA
1,aac(2')-Ib,AGly,AAC(2'),aac(2')-Ib,2,ARO_3002524,-,-,no,no,NA,NA
1,aac(2')-Ic,AGly,AAC(2'),aac(2')-Ic,3,ARO_3002525,-,-,no,no,NA,NA
1,aac(2')-Id,AGly,AAC(2'),aac(2')-Id,4,ARO_3002526,-,-,no,no,NA,NA
1,aac(2')-Ie,AGly,AAC(2'),aac(2')-Ie,5,ARO_3002527,-,-,no,no,NA,NA
1,aac(2')-IIa,AGly,AAC(2'),aac(2')-IIa,6,ARO_3004628,-,-,no,no,NA,NA
1,aac(2')-IIb,AGly,AAC(2'),aac(2')-IIb,7,ARO_3003988,-,-,no,no,NA,NA
2,aac(3)-Ia,AGly,AAC(3),aac(3)-Ia,8,ARO_3002528,-,-,no,no,NA,NA
2,aac(3)-Ib,AGly,AAC(3),aac(3)-Ib,9,ARO_3002530,-,-,no,no,NA,NA
2,aac(3)-Ic,AGly,AAC(3),aac(3)-Ic,10,ARO_3002531,-,-,no,no,NA,NA
2,aac(3)-Id,AGly,AAC(3),aac(3)-Id,11,ARO_3002529,-,-,no,no,NA,NA
2,aac(3)-IIa.v1,AGly,AAC(3),aac(3)-IIa.v1,12,ARG_X51534,-,-,no,no,NA,NA
2,aac(3)-IIa.v2,AGly,AAC(3),aac(3)-IIa.v2,13,ARO_3002533,-,-,no,no,NA,NA
2,aac(3)-IIb,AGly,AAC(3),aac(3)-IIb,14,ARO_3002534,-,-,no,no,NA,NA
2,aac(3)-IIc,AGly,AAC(3),aac(3)-IIc,15,ARO_3002535,-,-,no,no,NA,NA
2,aac(3)-IId,AGly,AAC(3),aac(3)-IId,16,ARO_3004623,-,-,no,no,NA,NA
2,aac(3)-IIe,AGly,AAC(3),aac(3)-IIe,17,ARO_3004621,-,-,no,no,NA,NA
2,aac(3)-IIIa,AGly,AAC(3),aac(3)-IIIa,18,ARO_3002536,-,-,no,no,NA,NA
2,aac(3)-IIIb,AGly,AAC(3),aac(3)-IIIb,19,ARO_3002537,-,-,no,no,NA,NA
2,aac(3)-IIIc,AGly,AAC(3),aac(3)-IIIc,20,ARO_3002538,-,-,no,no,NA,NA
2,aac(3)-IV,AGly,AAC(3),aac(3)-IV,21,ARO_3002539,-,-,no,no,NA,NA
2,aac(3)-IXa,AGly,AAC(3),aac(3)-IXa,22,ARO_3002543,-,-,no,no,NA,NA
2,aac(3)-VIa,AGly,AAC(3),aac(3)-VIa,23,ARO_3002540,-,-,no,no,NA,NA
2,aac(3)-VIIa,AGly,AAC(3),aac(3)-VIIa,24,ARO_3002541,-,-,no,no,NA,NA
2,aac(3)-VIIIa,AGly,AAC(3),aac(3)-VIIIa,25,ARO_3002542,-,-,no,no,NA,NA
2,aac(3)-Xa,AGly,AAC(3),aac(3)-Xa,26,ARO_3002544,-,-,no,no,NA,NA
2,aac(3)-Ib/aac(6')-Ib'',AGly,AAC(3);AAC(6'),aac(3)-Ib/aac(6')-Ib'',27,ARO_3002600,-,-,no,no,NA,NA
3,aac(6')-29a,AGly,AAC(6'),aac(6')-29a,28,ARO_3002583,-,-,no,no,NA,NA
3,aac(6')-29b,AGly,AAC(6'),aac(6')-29b,29,ARO_3002584,-,-,no,no,NA,NA
3,aac(6')-30/aac(6')-Ib',AGly,AAC(6'),aac(6')-30/aac(6')-Ib',30,ARO_3002599,-,-,no,no,NA,NA
3,aac(6')-31,AGly,AAC(6'),aac(6')-31,31,ARO_3002585,-,-,no,no,NA,NA
3,aac(6')-32,AGly,AAC(6'),aac(6')-32,32,ARO_3002586,-,-,no,no,NA,NA
3,aac(6')-33,AGly,AAC(6'),aac(6')-33,33,ARO_3002587,-,-,no,no,NA,NA
3,aac(6')-34,AGly,AAC(6'),aac(6')-34,34,ARO_3003989,-,-,no,no,NA,NA
3,aac(6')-I30,AGly,AAC(6'),aac(6')-I30,35,ARO_3002588,-,-,no,no,NA,NA
3,aac(6')-Ia,AGly,AAC(6'),aac(6')-Ia,36,ARO_3002545,-,-,no,no,NA,NA
